"id","nama_produk","brand_produk","harga_retail","link_gambar","harga_original","diskon"
14,"Puma Speedcat Ballet Venus Jasmine Flower Warm White (Women's)","Puma",1540000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1NTMxMS8zMjg4OGFmYjkzMTMwY2IwNzY4NTc2NzI2OTAxYWUyZS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
15,"Nike P-6000 Silver Burgundy Plum Chalk (Women's)","Nike",1700000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MzQyMy85OGQ4MjEyZTQ4YjNjMzkyNTQ0M2VkMmVjMmI5YmE2ZC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",1815000.0,6.34
16,"Puma Speedcat Ballet Lux Chocolate Gum (Women's)","Puma",2200000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE0Njk0NC9kMjhjZGVkZGU5Y2ViNzExYzZhNmZhMGVjNGZmMWU3MS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
17,"Nike P-6000 Sail Light Bone Cream (Women's)","Nike",1750000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE0Mjk5MC84Y2M4MDJkMTRiMmYzZGI0MWU2YTlhZDljZTY2MzZjYi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",2062500.0,15.15
18,"Puma Speedcat Ballet The Powerpuff Girls Silver Blue Wash (Women's)","Puma",2130000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1NjUxNS9mZGFjYzk1MmEwZWM3NDQ4M2JiOTU3ZTA5MGZiMzFkOC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
19,"Nike Moon Shoe SP Jacquemus Aluminum Pink (Women's)","Nike",6260000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1NDY1Ny9mMGU1OGIyZDlkZWRkOWI3YzBjNjQ2ODY4M2RkYmI1MC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
20,"Puma Speedcat Ballet Rosé White (Women's)","Puma",1150000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE0MDcwMS9lNDVmMTgxNjQ1ZDkzMTVjNDg3ZjMwOTMxMTYwNTY2NC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",1485000.0,22.56
21,"Nike P-6000 Grey Fog Metallic Cool Grey (Women's)","Nike",2990000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1NjI1MS85NTg4NmFiNGM1NzRmMTRmODA0MjU3MzM5YjAwYTVkNy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
22,"Adidas Samba OG Cream White Sand Strata (Women's)","Adidas",1000000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzk2Nzk2LzE4MmIyMzdhNjk5ODQyZmU0NTFmYjFmNjhlZWRmZmQzLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfX19",NULL,NULL
23,"Nike P-6000 White Silt Red Peony (Women's)","Nike",1500000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1NDY1MC8wODQ4NmU5NjAzNjA3MTgxOGE1MGZiOGNlZWI4NDBjNS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
24,"Nike P-6000 Silt Red Burgundy Crush (Women's)","Nike",1740000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1MjkwOC9kYmFmMzY3NGMyMjNjODA2MTk0MDVmOWNmNTNmMDg0ZS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",2062500.0,15.64
25,"Nike P-6000 White Blue Tint Sail Metallic Silver (Women's)","Nike",1650000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE0NTIxNy8wMzQzNjZmMjA3NDgwM2Y0OTA0NTgzYTlkZjhhOWVjNy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
26,"Adidas Samba Jane Core Black Crystal Sand (Women's)","Adidas",1780000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE1NTkxMC9jOTQwMzUyYzQ4ZTFlNzM5NzE5MTJmOWUyOTdlNTQxZC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",NULL,NULL
27,"Adidas Handball Spezial Wonder Mauve Alumina (Women's)","Adidas",1440000.0,"https://cdn-old.kickavenue.com/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzE0NDI3Ny8wMjlhOWIxMTZhNDA4ZjBkMDczZDEzM2NkZjE2YmQxMi5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH19fQ==",1650000.0,12.73
